start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:00:23|00:00:01:13|Anita|You're a group of girls.|[अनीता] You're a group of girls.
00:00:02:16|00:00:05:22|Anita|Same age, same clothes, same food, yada yada.|[अनीता] Same age, same clothes, same food, yada yada.
00:00:06:21|00:00:08:24|Anita|बट एक बात पर तुम सब भी एग्री नहीं कर सकती।|[अनीता] But ek baat par tum sab bhi agree nahi kar sakti.
00:00:09:24|00:00:13:00|Anita|कि यह परफेक्ट वुमन कौन और क्या है।|[अनीता] Ki yeh perfect woman, kaun aur kya hai.
00:00:13:22|00:00:15:06|Anita|यही हमारे प्ले का पॉइंट है।|[अनीता] Yahi hamare play ka point hai.
00:00:16:11|00:00:17:21|Anita|हू इज दिस परफेक्ट वुमन?|[अनीता] Who is this perfect woman?
00:00:18:18|00:00:20:20|Anita|नारी... या सुपरनारी?|[अनीता] Nari... ya Supernari?
00:00:23:05|00:00:28:13|Anita|शीट पे पूरी कास्ट लिस्ट लिखी है, कौन क्या प्ले कर रहा है, वो भी लिखा है, सो प्लीज गो थ्रू इट।|[अनीता] Sheet pe poori cast list likhi hai, kaun kya play kar raha hai, woh bhi likha hai, so please go through it.
00:00:29:16|00:00:30:23|Dia|इज दिस ऑल इन हिंदी?|[दीया] Is this all in Hindi?
00:00:32:05|00:00:32:19|Dia|डूब गई नाव।|[दीया] Doob gayi naav.
00:00:33:14|00:00:35:21|Dia|दीज सूडोज डोंट नो एनीथिंग बियॉन्ड रिवरडेल।|[दीया] These pseudos don't know anything beyond Riverdale.
00:00:37:02|00:00:40:12|Student|एक्सक्यूज मी... या, कैन वी जस्ट... वोट हर आउट ऑफ द...|[छात्रा] Excuse me... yeah, can we just... vote her out of the...
00:00:40:12|00:00:41:04|Students|यस प्लीज।|[छात्राएं] Yes, please.
00:00:41:04|00:00:42:07|Anita|नो।|[अनीता] No.
00:00:42:07|00:00:42:15|Students|यस प्लीज।|[छात्राएं] Yes, please.
00:00:43:23|00:00:45:18|Dia|हू इज काव्या यादव?|[दीया] Who is Kavya Yadav?
00:00:49:12|00:00:50:23|Dia|तो यू आर द कॉम्पिटिशन।|[दीया] Toh you're the competition.
00:00:51:20|00:00:54:02|Dia|डू यू इवन नो वॉट यू आर डूइंग, मैडम नारी?|[दीया] Do you even know what you're doing, Madam Nari?
00:00:54:21|00:00:55:06|Anita|दीया।|[अनीता] Dia.
00:00:56:06|00:00:56:19|Anita|बिहेव।|[अनीता] Behave.
00:00:57:16|00:01:00:13|Kavya|इट्स ओके मैम। प्ले के लिए ये वाइब सही है।|[काव्या] It's okay, ma'am. Play ke liye yeh vibe sahi hai.
01:02:00|01:04:22|Dia|फुल कन्या विद्यालय वाइब्स, इफ यू नो वॉट आई मीन।|[दीया] Full Kanya Vidyalaya vibes, if you know what I mean.
01:06:22|01:07:07|Kavya|आई डू।|[काव्या] I do.
01:09:12|01:16:21|Kavya|गुड इनफ टू टेल द डिफरेंस बिटवीन कॉकी, कंडेसेंडिंग, कंसीटेड एंड क्लास्सिस्ट।|[काव्या] Good enough to tell the difference between cocky, condescending, conceited and classist.
01:19:11|01:23:22|Kavya|आपको समझ आया या हिंदी में अनुवाद करूं, मैडम सुपरनारी?|[काव्या] Aapko samajh aaya? Ya Hindi mein anuvaad karun, Madam Supernari?
01:26:11|01:27:14|Dia|गुड इनफ, आई गेस।|[दीया] Good enough, I guess.
